address,area,price,property_status,price_per_m2,bedroom,toilets,floornumber,property_legal,furniture
"Số 12, Nguyễn Bỉnh Khiêm, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","1,67 tỷ",69 m²,Đã bàn giao,"24,2 triệu/m²",2 phòng,2 phòng,,Đã có sổ,
"Số 243, Số 243 Số 243 Đường Tân Hòa Đông, Phường 14, Quận 6, Thành phố Hồ Chí Minh, Phường 14, Quận 6, Tp Hồ Chí Minh","1,655 tỷ",70 m²,Đã bàn giao,"23,64 triệu/m²",2 phòng,,,,
"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,63 tỷ",71.8 m²,Đã bàn giao,"22,7 triệu/m²",2 phòng,2 phòng,8,Đã có sổ,
"Số 243, Số 243 Số 243 Đường Tân Hòa Đông, Phường 14, Quận 6, Thành phố Hồ Chí Minh, Phường 14, Quận 6, Tp Hồ Chí Minh","2,45 tỷ",63 m²,Đã bàn giao,"38,89 triệu/m²",2 phòng,2 phòng,5,Đã có sổ,Hoàn thiện cơ bản
"Đồng Văn Cống, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,45 tỷ",51 m²,Đã bàn giao,"67,65 triệu/m²",1 phòng,1 phòng,12,,
"Chung Cư 43Hồ Văn Huê, Đường Hồ Văn Huê, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","2,6 tỷ",51 m²,Đã bàn giao,"50,98 triệu/m²",2 phòng,1 phòng,3,Đã có sổ,Nội thất đầy đủ
"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,75 tỷ",54 m²,Chưa bàn giao,"69,44 triệu/m²",2 phòng,1 phòng,24,Đã có sổ,Hoàn thiện cơ bản
"Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","1,64 tỷ",69 m²,Đã bàn giao,"23,77 triệu/m²",2 phòng,2 phòng,,Đã có sổ,
"Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh","3,25 tỷ",81 m²,Đã bàn giao,"40,12 triệu/m²",3 phòng,2 phòng,9,Đã có sổ,Hoàn thiện cơ bản
"Số 504, Số 504 đường Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh","3,45 tỷ",80 m²,Đã bàn giao,"43,13 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
